"document_link","dropdown_texts"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/28fd921ff4ec776dc1256fa2005a2efa?OpenDocument","Gallignana, Galignana, Galiana"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/29d177fdb691e393c1256fa300602e86?OpenDocument","Montisi (San Giovanni d'Asso), Mons Isii, Mons Ghisi"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2b4319f297518168c1256f9a0056d72c?OpenDocument","Cazzano (Budrio)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2dd94729ef3b433fc1256fa30060291c?OpenDocument","Montepescali (Grosseto), Mons Pescalis"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2e107dec1234728ac1256fa2005a474f?OpenDocument","Gex"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2f884a2afe192483c1256fa40048c327?OpenDocument","Narbonne, Narbona, Narbo"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/2fabc47d7507ff82c1256fa40048d2d2?OpenDocument","Ortonovo, Hortinovum"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/30220b0f78cc0402c1256fa40048cd20?OpenDocument","Nyon"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3028a845a91249d3c1256fa3005fe033?OpenDocument","Massalombardorum, Massalombarda"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/30548fbfa0dc5a44c1256f3b004d37e6?OpenDocument","Tuscia, Patrimonium Beati Petri in Tuscia"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/30afbaac2bc0d4fec1256fac004027cf?OpenDocument","Sanctus Leoninus in Montibus, San Leolino (Londa)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/315cf071b086eeadc1256f3b004d31a7?OpenDocument","Tres"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/31f282ff1ad8d395c1256fa20059f94e?OpenDocument","Falcinellum, Falcinello (Sarzana)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/32d8afe71204e575c1256f9a0056f543?OpenDocument","Cusy en Genevois, Cusy, Cusiacum"
