dropdown_value,dropdown_text,document_link
Aoste,Aoste,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3c953cf1fe438536c1256f9a00405875?OpenDocument
Aouste,Aouste,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/3c953cf1fe438536c1256f9a00405875?OpenDocument
Apagnum,Apagnum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1e5b5b682a943aa4c1256fa40048e209?OpenDocument
Appanis,Appanis,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1e5b5b682a943aa4c1256fa40048e209?OpenDocument
Appignano,Appignano,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e3884a786ea1d753c1256f9a00405935?OpenDocument
Appignanum,Appignanum,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e3884a786ea1d753c1256f9a00405935?OpenDocument
Apricale,Apricale,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/00a58c7e8b0307c1c1256f9a0040597c?OpenDocument
Apricena,Apricena,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9e085a62a433c6a2c1256f9a0040598a?OpenDocument
Aquae,Aquae,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/58a98fe6b8c9f689c1256f9a00404c91?OpenDocument
Aquila,Aquila,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9cc46c38b23b01ffc1256fa3005edb78?OpenDocument
Aquila degli Abruzzi,Aquila degli Abruzzi,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9cc46c38b23b01ffc1256fa3005edb78?OpenDocument
Aquila in Vestinis,Aquila in Vestinis,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9cc46c38b23b01ffc1256fa3005edb78?OpenDocument
Aquileia,Aquileia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/cc8d1968818436f8c1256f9a004059b9?OpenDocument
